city,city_label,poi_category,poi_label,poi_label_one_line,poi_code,n_all_valid_pairs,n_feasible_pairs,n_active_ref,n_unused_feasible,total_active_ref_flow,total_all_active_flow,active_weighted_exposure_ref,active_weighted_distance_ref,share_higher_exposure,share_not_farther,share_second_quadrant,mean_delta_exposure,median_delta_exposure,mean_delta_distance,median_delta_distance,city_aggregate_share,city_n_categories,city_n_all_valid_pairs,city_n_feasible_pairs,city_n_active_ref,city_n_unused_feasible,city_total_active_ref_flow,city_total_all_active_flow,city_aggregate_weight
newyork,New York,Other_Individual_and_Family_Services,"Individual &
Family Services",Individual & Family Services,624190,4584,4584,32,4552,200.0,200.0,0.6248317928217764,2.2196330321635958,0.5676625659050967,0.22451669595782073,0.07557117750439367,0.02652024352227906,0.01764143262608281,2.1496811659938344,1.546981829046481,0.11892218001619852,6.0,3475818.0,3475818.0,34761.0,3441057.0,165941.0,165941.0,n_unused_feasible
newyork,New York,"Promoters_of_Performing_Arts,_Sports,_and_Similar_Events_with_Facilities","Performing Arts
Facilities",Performing Arts Facilities,711310,75636,75636,2043,73593,10349.0,10349.0,0.6473810406158599,3.062963217757209,0.5837919367331132,0.3096761920291332,0.12760724525430409,0.022320945172819948,0.027369616050154533,2.649107330244953,1.69373037774043,0.11892218001619852,6.0,3475818.0,3475818.0,34761.0,3441057.0,165941.0,165941.0,n_unused_feasible
newyork,New York,Museums,Museums,Museums,712110,175338,175338,2822,172516,14234.0,14234.0,0.6378604088019484,3.2985351466811506,0.5949593081221451,0.3383512253935867,0.1563912912425514,0.02411929971527368,0.031027390698039392,2.478619751924044,1.525508860872527,0.11892218001619852,6.0,3475818.0,3475818.0,34761.0,3441057.0,165941.0,165941.0,n_unused_feasible
newyork,New York,Fitness_and_Recreational_Sports_Centers,"Fitness
Centers",Fitness Centers,713940,1325922,1325922,15722,1310200,73960.0,73960.0,0.6347182095870286,2.614206949036458,0.5910830407571364,0.26280415203785684,0.11767974355060296,0.023073331706509215,0.031545785351956845,2.8308913401621076,1.9417416503916312,0.11892218001619852,6.0,3475818.0,3475818.0,34761.0,3441057.0,165941.0,165941.0,n_unused_feasible
newyork,New York,Drinking_Places_(Alcoholic_Beverages),"Drinking
Places",Drinking Places,722410,1479486,1479486,13021,1466465,61977.0,61977.0,0.6420809859356194,2.6381706587681553,0.6233473011630009,0.2578234052636783,0.12828263886284363,0.025320127667871384,0.0409078096973694,3.1334626374455765,2.2241345825527405,0.11892218001619852,6.0,3475818.0,3475818.0,34761.0,3441057.0,165941.0,165941.0,n_unused_feasible
newyork,New York,Religious_Organizations,"Religious
Organizations",Religious Organizations,813110,414852,414852,1121,413731,5221.0,5221.0,0.6768032423379242,1.7164644636705575,0.710804846627398,0.11301304470779323,0.07298703747120713,0.028664018381038183,0.05525392370508553,4.480046172343673,3.759840584768689,0.11892218001619852,6.0,3475818.0,3475818.0,34761.0,3441057.0,165941.0,165941.0,n_unused_feasible
losangeles,Los Angeles,Other_Individual_and_Family_Services,"Individual &
Family Services",Individual & Family Services,624190,37282,36281,272,36009,1263.0,1263.0,0.7044501379364055,4.728880098645841,0.7726401732900108,0.05182037823877364,0.04162848176844678,0.0249593491287441,0.039768059269363776,15.299790348266736,14.230591005944824,0.09921718649984047,6.0,14984701.0,14748393.0,52300.0,14696093.0,237052.0,237175.0,n_unused_feasible
losangeles,Los Angeles,"Promoters_of_Performing_Arts,_Sports,_and_Similar_Events_with_Facilities","Performing Arts
Facilities",Performing Arts Facilities,711310,260974,258352,3593,254759,16747.0,16751.0,0.7193432829534389,10.620669595176238,0.7283432577455556,0.30227391377733465,0.23732233208640321,0.013209269807953554,0.021040062959491457,7.158149364301513,5.400895670077848,0.09921718649984047,6.0,14984701.0,14748393.0,52300.0,14696093.0,237052.0,237175.0,n_unused_feasible
losangeles,Los Angeles,Museums,Museums,Museums,712110,380809,371205,2490,368715,11192.0,11221.0,0.7257282725780769,8.670109747354912,0.6824240944903245,0.22157492914581722,0.16277341578183693,0.008416835106114831,0.0163570576475478,9.593212807738004,7.926894786216847,0.09921718649984047,6.0,14984701.0,14748393.0,52300.0,14696093.0,237052.0,237175.0,n_unused_feasible
losangeles,Los Angeles,Fitness_and_Recreational_Sports_Centers,"Fitness
Centers",Fitness Centers,713940,4540415,4477878,24103,4453775,110569.0,110599.0,0.6923167301965801,6.871044690456101,0.7686932995043531,0.12288990799939377,0.0935541198197035,0.03156158058408928,0.044454382674678716,11.561400332620037,10.372131086395369,0.09921718649984047,6.0,14984701.0,14748393.0,52300.0,14696093.0,237052.0,237175.0,n_unused_feasible
