poi_id,poi_tier,baseline_total_visits,optimized_total_visits,delta_visits,delta_visits_pct,positive_increment_received,removed_flow,net_flow_change,n_active_links_before,n_active_links_after,delta_active_links,n_new_positive_links,n_removed_positive_links,n_retained_positive_links,spse_contribution_before,spse_contribution_after,delta_spse_contribution,spse_from_new_links,spse_lost_from_removed_links,spse_change_on_retained_links,mean_delta_structural_social_exposure_per_visiting_cbg,mean_delta_structural_social_exposure_per_baseline_visiting_cbg,mean_delta_structural_social_exposure_per_union_visiting_cbg,weighted_contribution_before,weighted_contribution_after,delta_weighted_contribution,weighted_added_contribution,weighted_removed_contribution,flow_weighted_exposure_before,flow_weighted_exposure_after,delta_flow_weighted_exposure,added_origin_income_score,baseline_origin_income_score,optimized_origin_income_score,delta_origin_income_score,flow_weighted_distance_before,flow_weighted_distance_after,delta_flow_weighted_distance_km,delta_exposure_field_all_cbgs,mean_delta_exposure_field_all_cbgs,delta_exposure_field_active_union,mean_delta_exposure_field_active_union
zzw-222@62j-qst-87q,Top 10% baseline-flow POIs,377.0,251.0,-126.0,-33.42175066312997,5.0,131.0,-126.0,69,70,1,1,0,69,39.36758165926565,40.15326987573772,0.7856882164720673,0.6712009910631599,0.0,0.1144872254089182,0.01122411737817239,0.01138678574597199,0.01122411737817239,213.29474650534354,142.85335893852036,-70.44138756682318,3.513264494106032,74.36930047304959,0.5657685583696116,0.5691368882012764,0.003368329831664796,2.769020677447634,3.3129063483389274,3.311718774117619,-0.0011875742213085516,10.107643635713778,7.655598774710026,-2.4520448610037517,0.6047283242107427,0.00082953130893106,0.11350719586808944,0.001621531369544135
222-222@62j-sx7-xwk,Top 10% baseline-flow POIs,365.0,187.0,-178.0,-48.76712328767123,2.0,180.0,-178.0,56,57,1,1,0,56,33.67053563127757,34.91111778674531,1.2405821554677345,0.6051470769238071,0.0,0.6354350785439319,0.021764599218732184,0.022153252776209546,0.021764599218732184,212.79587245984857,113.5624254012636,-99.23344705858497,1.2102941538476142,102.56970322449743,0.583002390300955,0.6072856973329605,0.02428330703200543,3.2899628252788107,3.3007651869912404,3.235574759547821,-0.06519042744341963,6.1945571743133865,4.4421862954568825,-1.752370878856504,6.562207686514354,0.009001656634450416,0.648586205251344,0.011378705355286737
222-222@62j-szw-wp9,Top 10% baseline-flow POIs,314.0,234.0,-80.0,-25.477707006369428,21.0,101.0,-80.0,58,62,4,4,0,58,38.81027973408314,41.08756970710521,2.2772899730220715,2.451929703665394,0.0,-0.17463973064331495,0.036730483435839865,0.03926362022451847,0.036730483435839865,208.13794871044348,153.55795187249507,-54.579996837948414,13.112328834709029,66.99701405471319,0.6628597092689282,0.6562305635576712,-0.006629145711257056,3.3178032650408644,3.105641571762907,3.1229842064653104,0.01734263470240327,5.87575805070859,4.42025546000285,-1.4555025907057395,-2.4501337240378476,-0.003360951610477157,-0.19580209612311283,-0.003158098324566336
zzw-222@62j-sgx-mc5,Top 10% baseline-flow POIs,220.0,293.0,73.0,33.18181818181819,101.0,28.0,73.0,49,79,30,30,0,49,35.9521958696454,55.70628380261922,19.754087932973817,20.193480364296118,0.0,-0.43939243132229566,0.25005174598701035,0.40314465169334324,0.25005174598701035,161.2856439713733,207.13924805935088,45.85360408797757,68.35184798609822,20.59293943861399,0.7331165635062424,0.7069598909875456,-0.0261566725186968,3.1602516387279325,2.704770276179681,2.8552515521343254,0.15048127595464456,4.307869715071835,4.479476750250923,0.17160703517908793,-17.613313757549932,-0.024160924221604846,-1.4013587327301251,-0.01773871813582437
zzy-222@62j-sf9-qzz,Top 10% baseline-flow POIs,198.0,154.0,-44.0,-22.22222222222222,18.0,62.0,-44.0,42,46,4,4,0,42,22.440116215311235,26.169757683305782,3.729641467994547,2.5178308131424094,0.0,1.21181065485214,0.08107916234770754,0.0888009873332035,0.08107916234770754,106.29556327468234,90.83902490147509,-15.456538373207252,11.436008498557722,30.352630092137005,0.5368462791650623,0.5898637980615266,0.05301751889646422,3.107402719269263,3.375335840577069,3.2779170511050535,-0.09741878947201554,4.312762915141817,3.6522402906163567,-0.6605226245254601,12.791514988259367,0.017546659791850983,1.2795379391488328,0.02781604215540941
222-222@62j-stv-xh5,Middle 40% baseline-flow POIs,176.0,109.0,-67.0,-38.06818181818182,6.0,73.0,-67.0,31,32,1,1,0,31,16.78825967320922,17.480865249480537,0.6926055762713155,0.5930613042424169,0.0,0.09954427202889904,0.02164392425847861,0.022342115363590823,0.02164392425847861,93.26606801128773,58.49008724210209,-34.77598076918564,3.377807791808019,38.49694574521191,0.5299208409732257,0.5366063049734138,0.006685464000188102,3.3289953046540983,3.42870519747746,3.411438802279479,-0.017266395197981232,5.177311655176701,3.0956056602202477,-2.081705994956453,1.5241059221887867,0.0020906802773508733,0.10197836729069976,0.0031868239778343674
226-222@62j-sj7-qj9,Middle 40% baseline-flow POIs,168.0,188.0,20.0,11.904761904761903,46.0,26.0,20.0,34,48,14,14,0,34,24.19269731456567,32.94943200123706,8.756734686671386,9.06396156519179,0.0,-0.30722687852039765,0.18243197263898722,0.25755102019621723,0.18243197263898722,119.71056693311425,130.11370045506123,10.403133521946984,29.5833536351942,18.36093208774318,0.7125628984113942,0.6920941513567087,-0.020468747054685488,3.4148399665446907,2.8907758487677992,3.0057735493856312,0.11499770061783199,4.92033862307552,4.369212462837577,-0.5511261602379429,-16.00993038704975,-0.021961495729835048,-0.857834310277659,-0.01787154813078456
222-222@62j-t54-8gk,Middle 40% baseline-flow POIs,165.0,232.0,67.0,40.60606060606061,97.0,30.0,67.0,40,59,19,19,0,40,29.041965044326517,40.422180406566824,11.380215362240307,11.941178139073056,0.0,-0.5609627768327446,0.19288500613966622,0.28450538405600767,0.19288500613966622,119.88849307190179,158.95038081639913,39.06188774449734,62.009535916459754,21.496746755556927,0.7265969277084957,0.6851309517948239,-0.04146597591367185,3.40384640435198,2.8163854411694045,3.037947117976351,0.22156167680694638,8.167453254307839,6.465889437528053,-1.7015638167797862,-25.237564918612573,-0.03461943061538076,-1.6373962719937474,-0.0277524791863347
zzw-222@62j-wq5-ygk,Middle 40% baseline-flow POIs,161.0,167.0,6.0,3.7267080745341614,9.0,3.0,6.0,22,24,2,2,0,22,14.059482769823363,15.26204311958135,1.2025603497579862,1.2651940682738245,0.0,-0.06263371851583732,0.050106681239916094,0.05466183407990846,0.050106681239916094,104.02975597689317,107.00940873830359,2.9796527614104207,5.485452843340119,2.0833461819956973,0.6461475526515105,0.6407749026245724,-0.005372650026938097,3.3659722332633235,3.1768568478559045,3.1919708453628686,0.015113997506964072,5.390174776587972,5.489119681714782,0.09894490512681031,-1.9042311597996306,-0.002612114073799219,-0.06833855286874535,-0.0028474397028643897
222-222@62j-sxz-9xq,Middle 40% baseline-flow POIs,157.0,175.0,18.0,11.464968152866243,60.0,42.0,18.0,37,50,13,13,0,37,24.384999456940744,32.4963993884226,8.11139993148186,8.089295178793154,0.0,0.02210475268870349,0.1622279986296372,0.21922702517518539,0.1622279986296372,103.47865556869785,115.53639047207926,12.057734903381416,39.103760261512605,27.104335298671586,0.6590997169980756,0.6602079455547387,0.001108228556663149,3.1510174551086765,3.1120441351399295,3.0984734577837565,-0.013570677356173011,5.096712385404875,4.635020999690613,-0.4616913857142624,0.44058687406374974,0.0006043715693604249,0.029601451730573936,0.0005920290346114787
222-222@62k-2jw-bp9,Middle 40% baseline-flow POIs,157.0,153.0,-4.0,-2.547770700636943,11.0,15.0,-4.0,29,32,3,3,0,29,19.899561377891466,21.95329823050823,2.0537368526167654,2.0098903715330314,0.0,0.04384648108373679,0.06417927664427392,0.07081851215919881,0.06417927664427392,108.59356288222585,106.25033680062795,-2.343226081597905,7.307167906920554,9.841428101213477,0.6916787444727761,0.6944466457557383,0.0027679012829622263,3.2611672988492133,3.0327403277677556,3.0182486698676754,-0.014491657900080224,10.881121594294806,9.346843864174478,-1.534277730120328,0.933221331437826,0.0012801390006005845,0.04842221992757567,0.0015131943727367397
zzw-222@62j-pvd-whq,Middle 40% baseline-flow POIs,129.0,60.0,-69.0,-53.48837209302325,2.0,71.0,-69.0,29,29,0,0,0,29,17.705322045607954,18.15575064997198,0.45042860436402776,0.0,0.0,0.4504286043640273,0.015532020840138888,0.015532020840138888,0.015532020840138888,78.84478944639369,38.41139609848605,-40.43339334790764,1.2718570012056736,42.49188431535848,0.6111999181890982,0.6401899349747675,0.02899001678566926,3.2332474226804124,3.234058911441603,3.1428822239657124,-0.0911766874758908,14.083797674831738,9.47044359434046,-4.613354080491277,9.129427247580864,0.012523219818355094,0.4504286043640273,0.015532020840138872
zzw-222@62k-p2d-9fz,Middle 40% baseline-flow POIs,129.0,108.0,-21.0,-16.27906976744186,6.0,27.0,-21.0,23,23,0,0,0,23,13.54929137376352,13.768702875418922,0.21941150165540257,0.0,0.0,0.2194115016554029,0.009539630506756634,0.009539630506756634,0.009539630506756634,75.99246951408252,65.55274923509106,-10.439720278991459,3.3517778118723007,14.6396530632577,0.58908891096188,0.6069699003249172,0.01788098936303717,3.5253807106598987,3.29813306802689,3.256904738112351,-0.041228329914539064,8.387136635499912,5.949043519266797,-2.438093116233115,5.115253329226729,0.007016808407718421,0.2194115016554029,0.009539630506756647
