,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10
CBG1,0.3181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.3181818181818182,0.0,0.0
CBG2,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333333
CBG3,0.4583333333333333,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBG4,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
CBG5,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25
CBG6,0.8095238095238095,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBG7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBG8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CBG9,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
CBG10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
