,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10
CBG1,0.45454545454545453,0.36363636363636365,0.0,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.0,0.09090909090909091
CBG2,0.06666666666666667,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.6
CBG3,0.4166666666666667,0.5416666666666666,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0
CBG4,0.25,0.4166666666666667,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333
CBG5,0.0625,0.125,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.75
CBG6,0.38095238095238093,0.3333333333333333,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.09523809523809523
CBG7,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
CBG8,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0
CBG9,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
CBG10,0.3125,0.25,0.0625,0.0625,0.0625,0.0,0.0,0.0625,0.0,0.1875
