poi_id,total_changed_flow
222-222@62j-rgz-n5z,87.0
222-222@62j-rk3-rtv,60.0
222-222@62j-shb-t9z,30.0
222-222@62j-srj-tgk,29.0
222-222@62j-stv-xh5,79.0
222-222@62j-sx7-xwk,182.0
222-222@62j-sxz-9xq,102.0
222-222@62j-szw-wp9,122.0
222-222@62j-t2b-5zz,152.0
222-222@62j-t54-8gk,127.0
222-222@62k-2b5-wp9,5.0
222-222@62k-2jw-bp9,26.0
222-222@62k-r96-syv,15.0
222-223@62j-sjh-6kz,10.0
222-224@62k-nyw-4gk,14.0
223-222@62k-rcm-nwk,8.0
223-224@62j-sj2-snq,10.0
223-224@62j-sj4-68v,19.0
224-222@62j-wgx-ndv,6.0
224-222@62k-pjg-575,8.0
224-223@62j-sh4-45f,64.0
225-222@62j-pjj-nbk,32.0
225-222@62j-rz2-yd9,79.0
226-222@62j-sj7-qj9,72.0
227-222@62j-sgt-v9f,48.0
227-222@62j-shr-wp9,34.0
228-222@62k-pc7-d5f,40.0
22j-222@62j-sk3-jn5,17.0
23v-222@62k-pc7-8qf,8.0
zzw-222@62j-pst-2c5,81.0
zzw-222@62j-ptr-389,23.0
zzw-222@62j-pvd-whq,73.0
zzw-222@62j-qst-87q,136.0
zzw-222@62j-rg6-kj9,6.0
zzw-222@62j-sgx-mc5,129.0
zzw-222@62j-sz6-3wk,52.0
zzw-222@62j-wq5-ygk,12.0
zzw-222@62j-x3r-gzf,3.0
zzw-222@62k-2kw-dy9,7.0
zzw-222@62k-fk7-ygk,12.0
zzw-222@62k-p2d-9fz,33.0
zzw-222@62k-pc7-ckf,67.0
zzw-223@62j-r5v-kcq,41.0
zzy-222@62j-sf9-qzz,80.0
