city,poi_code,poi_category,social_relative_change,distance_relative_change
newyork,624190,Other Individual and Family Services,0.8467243077261938,-0.02422756251187841
losangeles,624190,Other Individual and Family Services,0.380960629933444,-0.20452477207148773
chicago,624190,Other Individual and Family Services,0.3993350252782969,-0.23887673702636478
houston,624190,Other Individual and Family Services,0.4388862999510181,-0.23375889599993283
atlanta,624190,Other Individual and Family Services,0.5861272914564053,0.09339211425042006
seattle,624190,Other Individual and Family Services,0.6209086029668281,-0.06473915185528197
boston,624190,Other Individual and Family Services,0.45329816354315167,-0.07843926425282288
fresno,624190,Other Individual and Family Services,,
baltimore,624190,Other Individual and Family Services,-1.1874913384435054e-16,0.0
tulsa,624190,Other Individual and Family Services,0.3282180859826116,-0.13393147567605312
tyler,624190,Other Individual and Family Services,,
champaign,624190,Other Individual and Family Services,,
billings,624190,Other Individual and Family Services,0.0,0.0
sebring,624190,Other Individual and Family Services,,
cheyenne,624190,Other Individual and Family Services,0.0,0.0
newyork,711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",0.3497723930843485,-0.38641685995499003
losangeles,711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",0.40325960121992005,-0.5814465231675915
chicago,711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",0.4428624813170709,-0.5041082686725225
houston,711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",0.6128443171129339,-0.41446017093184184
atlanta,711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",0.46738005320896125,-0.27573068550651475
seattle,711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",0.45169049456939275,-0.4154431928047749
boston,711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",0.3135661724420826,-0.3031440471317142
fresno,711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",0.6290315317231698,-0.18154072841555452
baltimore,711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",0.29006417838617576,-0.1952767760980456
tulsa,711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",0.6745253294755853,-0.3889111722562861
tyler,711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",,
champaign,711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",0.3847031455132029,-0.2060244347748017
