GEOID,fc_k_0.01,fc_k_0.05,fc_k_0.20
250251008001,0.0,0.0,0.0
250251008002,0.0,0.0,0.0
250092032002,0.0,0.0,1.0
330170880001,0.0,0.0,0.0
250251008005,0.0,0.0,0.0
250251008006,0.0,0.0,0.0
330170880003,0.0,0.0,0.0
250092501001,6.0,6.0,3.0
250214101001,0.0,0.0,0.0
250092544011,0.0,0.0,0.0
250214101002,0.0,0.0,0.0
250250922001,0.0,0.0,0.0
250173354002,0.0,0.0,1.0
250250922003,0.0,0.0,0.0
250250922004,0.0,0.0,0.0
250173141013,6.0,6.0,6.0
250092544021,4.0,4.0,4.0
250092544022,16.0,16.0,16.0
250092544024,13.0,13.0,13.0
250092544023,3.0,3.0,3.0
250173354001,0.0,1.0,2.0
250235306004,0.0,0.0,1.0
250092544031,6.0,6.0,6.0
250092544032,3.0,3.0,3.0
250214228001,3.0,3.0,3.0
250173567011,3.0,3.0,3.0
330150697003,0.0,0.0,0.0
250173737004,3.0,3.0,3.0
250173311022,3.0,3.0,3.0
250173311024,6.0,6.0,6.0
250092542001,0.0,0.0,0.0
250092542002,0.0,0.0,0.0
250214142002,4.0,4.0,4.0
250251006014,0.0,0.0,0.0
250173352001,3.0,3.0,3.0
250250920002,3.0,3.0,3.0
250235091011,0.0,0.0,1.0
250235091012,3.0,3.0,3.0
250250920003,0.0,0.0,0.0
250173352002,3.0,3.0,3.0
250235261003,0.0,0.0,0.0
250235261004,0.0,0.0,0.0
250235261005,3.0,3.0,3.0
250214226001,3.0,3.0,3.0
250173223002,3.0,3.0,3.0
250092114011,3.0,3.0,3.0
250092071002,3.0,3.0,3.0
250173735002,3.0,3.0,3.0
250251004001,3.0,3.0,3.0
250251004002,0.0,0.0,0.0
250251004003,0.0,0.0,0.0
250251004004,0.0,0.0,0.0
250092114021,0.0,1.0,8.0
250092114022,0.0,0.0,0.0
250092114024,0.0,1.0,0.0
250235601001,0.0,0.0,0.0
250235601002,0.0,0.0,0.0
250235601003,0.0,0.0,0.0
250235601005,0.0,0.0,0.0
250235601006,0.0,0.0,0.0
250250918001,0.0,0.0,0.0
250173563003,3.0,3.0,3.0
250173733001,4.0,2.0,4.0
250092069002,3.0,3.0,3.0
250173733003,0.0,3.0,3.0
250251002002,3.0,3.0,3.0
250214181022,4.0,4.0,4.0
250250916001,0.0,0.0,0.0
250235001011,3.0,3.0,3.0
250235001013,3.0,3.0,3.0
250173731001,3.0,3.0,3.0
330150691002,0.0,0.0,0.0
330150691003,0.0,0.0,0.0
250092067004,0.0,3.0,3.0
250173731005,3.0,3.0,3.0
250173731004,4.0,4.0,4.0
250173731003,1.0,3.0,3.0
330150650052,3.0,3.0,3.0
330151074001,0.0,0.0,0.0
330151074002,0.0,0.0,0.0
250235001043,0.0,3.0,3.0
330151031002,3.0,3.0,3.0
250092108002,0.0,4.0,4.0
250092108003,2.0,3.0,3.0
250092151011,3.0,3.0,3.0
250092065002,3.0,3.0,3.0
250092065003,3.0,6.0,6.0
250092022001,0.0,0.0,1.0
250092022002,0.0,0.0,1.0
250092022003,0.0,0.0,1.0
250092022004,3.0,3.0,3.0
250173686005,0.0,2.0,3.0
250092022006,0.0,0.0,1.0
250173344001,3.0,3.0,3.0
250173344002,0.0,0.0,1.0
250173344003,0.0,0.0,3.0
250173344004,4.0,4.0,4.0
330150560001,3.0,3.0,3.0
250092661001,3.0,3.0,3.0
250214091022,0.0,0.0,0.0
250092106001,3.0,3.0,3.0
250092106002,3.0,3.0,3.0
250092063002,3.0,3.0,3.0
250173385001,3.0,3.0,3.0
250092233002,3.0,3.0,3.0
250092532011,0.0,0.0,0.0
250173385003,3.0,3.0,3.0
250092532012,3.0,3.0,3.0
250173342001,0.0,1.0,3.0
250173342002,0.0,0.0,3.0
250235081012,0.0,0.0,3.0
250173342004,0.0,0.0,0.0
250235081014,0.0,0.0,0.0
250235081015,0.0,0.0,0.0
250092532024,0.0,0.0,0.0
250092532023,0.0,0.0,0.0
250235081021,0.0,0.0,0.0
250092532031,0.0,3.0,3.0
250092532032,3.0,4.0,4.0
250235251012,4.0,4.0,4.0
250092532041,0.0,1.0,1.0
250092532042,0.0,0.0,0.0
250092532043,0.0,0.0,0.0
250092061002,0.0,0.0,3.0
250092532051,16.0,16.0,16.0
250092532052,5.0,5.0,5.0
250235421012,0.0,0.0,0.0
250173383001,3.0,3.0,6.0
250173383002,3.0,3.0,3.0
250173383003,0.0,0.0,0.0
250092102002,0.0,1.0,1.0
250092102003,0.0,4.0,4.0
250092059001,7.0,7.0,7.0
250092059002,0.0,4.0,3.0
250092059003,0.0,0.0,1.0
250173381001,3.0,3.0,3.0
250173381002,3.0,3.0,3.0
250173125013,3.0,3.0,3.0
250092057002,6.0,6.0,6.0
250092057005,3.0,3.0,3.0
250251801013,0.0,0.0,0.0
250092526011,3.0,3.0,3.0
250173123003,0.0,0.0,0.0
250173422011,0.0,0.0,0.0
250173422012,0.0,0.0,1.0
250250904002,0.0,0.0,0.0
330151064002,0.0,0.0,0.0
250092526023,3.0,3.0,3.0
250092141001,3.0,3.0,3.0
250092141002,3.0,3.0,3.0
250092141003,3.0,3.0,3.0
250092610002,3.0,3.0,3.0
250092610003,3.0,3.0,3.0
250092055001,0.0,0.0,0.0
330170860002,0.0,0.0,0.0
250173164004,3.0,3.0,3.0
250235202023,4.0,4.0,4.0
330151062001,0.0,0.0,0.0
250173334002,3.0,3.0,3.0
250173334003,0.0,0.0,3.0
330151062003,0.0,0.0,0.0
250173334005,0.0,0.0,0.0
330151062002,0.0,0.0,0.0
330151062004,0.0,0.0,0.0
250173547001,3.0,3.0,3.0
330150550011,3.0,3.0,3.0
330150038011,0.0,0.0,0.0
250214081022,0.0,0.0,1.0
250214081023,3.0,3.0,3.0
250092608001,0.0,0.0,0.0
250092651012,3.0,3.0,3.0
330150038021,0.0,0.0,0.0
250092053001,16.0,16.0,16.0
250092053002,0.0,3.0,1.0
250092651021,3.0,3.0,3.0
250173418001,0.0,0.0,0.0
250235114001,1.0,1.0,3.0
250235114002,0.0,0.0,3.0
250214421012,0.0,0.0,2.0
250173119002,0.0,0.0,0.0
250092522012,0.0,0.0,0.0
250173332001,0.0,0.0,0.0
250173332004,0.0,0.0,0.0
250235071013,0.0,0.0,3.0
250173162022,3.0,3.0,1.0
250092522021,0.0,0.0,1.0
250214421032,3.0,3.0,3.0
250092522022,0.0,0.0,0.0
250250814001,3.0,3.0,3.0
250092606002,3.0,3.0,3.0
250235454003,0.0,0.0,0.0
250235454004,0.0,0.0,0.0
250235454005,0.0,0.0,0.0
250235071032,5.0,5.0,5.0
250235411001,0.0,0.0,0.0
250092051001,3.0,3.0,1.0
250092051003,3.0,3.0,3.0
250092051004,8.0,8.0,8.0
250235411003,0.0,0.0,0.0
250092051002,3.0,3.0,3.0
250235071041,0.0,0.0,0.0
250173416003,0.0,1.0,2.0
250250003014,0.0,0.0,0.0
250173373001,3.0,8.0,8.0
250092221002,3.0,3.0,3.0
250173373002,3.0,3.0,3.0
250173373003,3.0,3.0,3.0
250092221001,3.0,3.0,3.0
250250003022,3.0,3.0,3.0
250092221003,3.0,3.0,3.0
250250003021,0.0,0.0,0.0
250214034003,3.0,3.0,3.0
250173586004,3.0,3.0,3.0
250092092002,3.0,3.0,3.0
250235452003,0.0,0.0,0.0
250092092004,0.0,4.0,4.0
250235452004,0.0,0.0,0.0
250235452002,0.0,0.0,3.0
250173414002,0.0,0.0,1.0
250092518003,6.0,3.0,3.0
250092518004,4.0,4.0,4.0
250214161013,3.0,3.0,3.0
250092604022,0.0,0.0,0.0
250235110002,0.0,0.0,3.0
250173883001,0.0,0.0,0.0
250173584002,0.0,0.0,0.0
250173584003,0.0,0.0,1.0
250173584004,3.0,2.0,3.0
250173371011,0.0,1.0,2.0
250092219012,3.0,3.0,3.0
250092219011,0.0,0.0,0.0
250173371022,0.0,3.0,3.0
250251707023,3.0,3.0,3.0
250092219022,3.0,3.0,3.0
250251707025,0.0,0.0,0.0
250092602001,0.0,0.0,0.0
250251707022,3.0,3.0,3.0
250251707024,0.0,0.0,3.0
250092516001,1.0,1.0,3.0
250092516002,1.0,1.0,3.0
250250511011,0.0,0.0,0.0
250092047012,6.0,6.0,9.0
250092047011,3.0,3.0,3.0
250092047013,3.0,3.0,3.0
250214202023,0.0,0.0,1.0
250235108006,0.0,0.0,1.0
250173113001,0.0,0.0,0.0
250173113002,0.0,0.0,0.0
250092217002,3.0,3.0,3.0
250235108005,0.0,1.0,3.0
250235108004,0.0,0.0,1.0
250092047022,0.0,0.0,3.0
250235022002,3.0,3.0,3.0
250173838003,0.0,0.0,0.0
250173838005,0.0,0.0,0.0
250092131001,3.0,3.0,3.0
250092131003,8.0,8.0,8.0
250251705022,3.0,3.0,6.0
250250808012,0.0,2.0,3.0
250092514002,3.0,3.0,3.0
250250509011,0.0,0.0,0.0
250250509012,0.0,0.0,0.0
250235106003,3.0,3.0,3.0
250092514003,0.0,1.0,3.0
250092215002,3.0,3.0,3.0
250173154011,3.0,3.0,3.0
250173111002,0.0,0.0,0.0
250251404001,3.0,3.0,3.0
330150540002,3.0,3.0,3.0
330150540001,0.0,0.0,0.0
250173836003,0.0,0.0,0.0
250173836004,0.0,0.0,0.0
250173154022,0.0,0.0,1.0
250173836001,0.0,0.0,0.0
250251404003,0.0,0.0,0.0
250173281002,6.0,6.0,6.0
250092172011,6.0,10.0,10.0
250092172012,3.0,3.0,3.0
250251105012,0.0,1.0,3.0
250092172021,7.0,7.0,7.0
250092172023,3.0,4.0,2.0
250250507001,3.0,3.0,3.0
250250507002,0.0,0.0,0.0
250250507003,0.0,0.0,0.0
250092043002,0.0,0.0,4.0
250251105022,0.0,0.0,6.0
250235108002,0.0,0.0,0.0
250214112004,3.0,3.0,3.0
250235108003,1.0,1.0,2.0
250092213001,0.0,0.0,0.0
250235061022,0.0,0.0,0.0
250173748002,3.0,3.0,3.0
250251103011,3.0,3.0,3.0
250251402022,3.0,3.0,3.0
250250505001,0.0,0.0,0.0
330170846001,0.0,0.0,0.0
250235102004,6.0,6.0,6.0
250092211001,3.0,3.0,3.0
250173363001,0.0,1.0,2.0
250173363003,3.0,6.0,3.0
250173662012,0.0,0.0,0.0
250235401021,0.0,0.0,0.0
250092041022,3.0,3.0,3.0
250173363006,1.0,3.0,3.0
250092041021,0.0,0.0,0.0
250173832001,1.0,2.0,2.0
250092211002,0.0,0.0,0.0
250173662022,0.0,0.0,0.0
250092082001,2.0,3.0,3.0
250092082002,3.0,3.0,1.0
250092082003,3.0,3.0,3.0
250092082004,0.0,0.0,0.0
250173746001,3.0,3.0,3.0
250173746004,0.0,0.0,3.0
250250503001,0.0,0.0,0.0
250250503002,0.0,0.0,1.0
330150620001,0.0,0.0,0.0
330170844003,0.0,0.0,0.0
330170801002,0.0,0.0,1.0
250173361002,0.0,0.0,1.0
250173361003,0.0,3.0,3.0
250092506003,3.0,3.0,3.0
250250501013,0.0,0.0,0.0
250173103002,0.0,0.0,0.0
250173103003,0.0,0.0,0.0
250173871004,3.0,3.0,3.0
250173871003,2.0,1.0,3.0
330151001001,3.0,3.0,3.0
250235012011,3.0,3.0,3.0
250235012012,5.0,5.0,5.0
330151001003,3.0,3.0,3.0
250173742003,4.0,4.0,4.0
250214104001,0.0,0.0,0.0
250214104002,0.0,0.0,0.0
250214104003,0.0,0.0,0.0
250251011012,0.0,0.0,0.0
250251011013,0.0,0.0,0.0
250214104004,0.0,0.0,0.0
250173400002,3.0,3.0,3.0
250251011024,3.0,3.0,6.0
