order,GEOID
0,250092532042
1,250235309022
2,250250507001
3,250092105002
4,250173343004
5,250235452004
6,250092053001
7,250173343001
8,250235041011
9,250092543021
10,250092532051
11,250235031011
12,250173343003
13,250092113001
14,250092544022
15,330150610011
16,250092113003
17,250092544024
18,330150610013
19,250251004001
20,250092114011
21,250092081011
22,250092544011
23,250092059001
24,250092054001
25,250092541004
26,330150610012
27,250092052005
28,250173141013
29,250092081012
30,250092057002
31,250235451003
32,250092172011
33,250235031024
34,250092065003
35,250214103002
36,250092605002
37,250092047012
38,250251105022
39,250092609003
40,330150625002
41,250092532024
42,250214412041
43,250092541003
44,250235031021
45,250092607001
46,250092102002
47,250214104001
48,250092106002
49,250092173002
50,330151062004
51,250173341003
52,250173373001
53,250092541001
54,250092543011
55,250173384001
56,250092105004
57,250092607002
58,250092131003
59,250214103001
60,250092141003
61,250092051004
62,250092109001
63,250092114021
64,250214091022
65,250173343002
66,250173335013
67,250092601002
68,330151064002
69,250250504002
70,250092022004
71,250092114022
72,250173837001
73,250235308011
74,250092544021
75,250173344002
76,250092105003
77,250235031012
78,250173323004
79,250173332004
80,250092106001
81,250173331005
82,250235109002
83,330150670002
84,330150670001
85,250214412021
86,250092091003
87,250092611012
88,250173335021
89,250092518003
90,250251005003
91,250250920002
92,250235041023
93,250173143011
94,250092068002
95,250235081012
96,250092215002
97,250092059002
98,250235452003
99,250173383001
