source,target,weight
250092532042,250092543021,1
250092532042,250092532051,1
250092532042,250092544022,1
250092532042,250092544024,1
250092532042,250092544011,1
250092532042,250092541004,1
250092532042,250173141013,1
250092532042,250092605002,1
250092532042,250092532024,1
250092532042,250092541003,1
250092532042,250092541001,1
250092532042,250092543011,1
250092532042,250092131003,1
250092532042,250092544021,1
250092532042,250092518003,1
250092532042,250092215002,1
250235309022,250235452004,1
250235309022,250235451003,1
250235309022,250173335021,1
250235309022,250235452003,1
250235309022,250235308011,2
250250507001,250173141013,1
250250507001,250173384001,1
250250507001,250250504002,1
250250507001,250092106001,1
250250507001,250250920002,1
250092105002,250092053001,2
250092105002,250173343001,1
250092105002,250092113001,1
250092105002,250092081011,1
250092105002,250092059001,1
250092105002,250092054001,1
250092105002,250092052005,1
250092105002,250092057002,1
250092105002,250092065003,2
250092105002,250092047012,2
250092105002,250092102002,1
250092105002,250092106002,1
250092105002,250173341003,1
250092105002,250092105004,1
250092105002,250092131003,1
250092105002,250092051004,2
250092105002,250092109001,1
250092105002,250173343002,1
250092105002,250092105003,2
250092105002,250092106001,2
250092105002,250092091003,1
250092105002,250092172011,1
250092105002,250092605002,1
250092105002,250092022004,1
250092105002,250092068002,1
250173343004,250173343001,2
250173343004,250173343003,3
250173343004,250173341003,3
250173343004,250173343002,3
250173343004,250173344002,2
250173343004,250092091003,2
250173343004,250173383001,2
250173343004,250092053001,1
250173343004,250092081011,1
250173343004,250092054001,1
250173343004,250092052005,1
250173343004,250092081012,1
250173343004,250092057002,1
250173343004,250173373001,2
250173343004,250173384001,2
250173343004,250092109001,1
250173343004,250092059002,1
250173343004,250173335013,1
250235452004,250235451003,1
250235452004,250173335021,1
250235452004,250235452003,1
250092053001,250173343001,3
250092053001,250092113001,1
250092053001,250092081011,2
250092053001,250092059001,2
250092053001,250092054001,2
250092053001,250092052005,3
250092053001,250092057002,3
250092053001,250092065003,3
250092053001,250092047012,3
250092053001,250092102002,1
250092053001,250092106002,2
250092053001,250173341003,2
250092053001,250092105004,1
250092053001,250092131003,1
250092053001,250092051004,3
250092053001,250092109001,2
250092053001,250173343002,3
250092053001,250092105003,3
250092053001,250092106001,2
250092053001,250092091003,3
250092053001,250173343003,1
250092053001,250092081012,2
250092053001,250173373001,1
250092053001,250173384001,2
250092053001,250173344002,1
250092053001,250092059002,2
250092053001,250092114021,1
250092053001,250092022004,2
250092053001,250092068002,2
250092053001,250092172011,1
250092053001,250092605002,1
250173343001,250092113001,1
250173343001,250092081011,2
250173343001,250092059001,2
250173343001,250092054001,2
250173343001,250092052005,3
250173343001,250092057002,3
250173343001,250092065003,2
250173343001,250092047012,2
250173343001,250092102002,1
250173343001,250092106002,2
250173343001,250173341003,3
250173343001,250092105004,1
250173343001,250092131003,1
250173343001,250092051004,2
250173343001,250092109001,2
250173343001,250173343002,4
250173343001,250092105003,2
250173343001,250092106001,1
250173343001,250092091003,4
250173343001,250173343003,2
250173343001,250173344002,2
250173343001,250173383001,1
250173343001,250092081012,2
250173343001,250173373001,1
250173343001,250173384001,2
250173343001,250092059002,2
250173343001,250092114021,1
250173343001,250092022004,1
250173343001,250092068002,1
250235041011,250235031011,1
250235041011,250092114011,1
250235041011,250235031024,1
250235041011,250235031021,1
250235041011,250235031012,1
250235041011,250235109002,1
250235041011,250235041023,1
250235041011,250235081012,1
250235041011,250251004001,1
250235041011,250251105022,1
250235041011,250092607001,1
250235041011,250251005003,1
250235041011,250250920002,1
250092543021,250092532051,2
250092543021,250092544022,2
250092543021,250092544024,2
250092543021,250092544011,2
250092543021,250092541004,2
250092543021,250173141013,2
250092543021,250092605002,1
250092543021,250092532024,1
250092543021,250092541003,2
250092543021,250092541001,2
250092543021,250092543011,2
250092543021,250092131003,1
250092543021,250092544021,2
250092543021,250092518003,2
250092543021,250092215002,1
250092543021,250173323004,1
250092543021,250173335021,1
250092543021,250173143011,1
250092532051,250092544022,2
250092532051,250092544024,2
250092532051,250092544011,1
250092532051,250092541004,3
250092532051,250173141013,1
250092532051,250092605002,2
250092532051,250092532024,1
250092532051,250092541003,2
250092532051,250092541001,2
250092532051,250092543011,1
250092532051,250092131003,2
250092532051,250092544021,2
250092532051,250092518003,3
250092532051,250092215002,1
250092532051,250092609003,1
250092532051,250092607001,1
250092532051,250092607002,1
250092532051,250092601002,1
250092532051,250092611012,1
250092532051,250092141003,1
250092532051,250173143011,1
250235031011,250092114011,1
250235031011,250235031024,1
250235031011,250235031021,1
250235031011,250235031012,1
250235031011,250235109002,1
250235031011,250235041023,1
250235031011,250235081012,1
250173343003,250173341003,3
250173343003,250173343002,3
250173343003,250173344002,2
250173343003,250092091003,2
250173343003,250173383001,2
250173343003,250092081011,1
250173343003,250092054001,1
250173343003,250092052005,1
250173343003,250092081012,1
250173343003,250092057002,1
250173343003,250173373001,2
250173343003,250173384001,2
250173343003,250092109001,1
250173343003,250092059002,1
250173343003,250173335013,1
250092113001,250092081011,1
250092113001,250092059001,2
250092113001,250092054001,1
250092113001,250092052005,1
250092113001,250092057002,1
250092113001,250092065003,2
250092113001,250092047012,2
250092113001,250092102002,2
250092113001,250092106002,1
250092113001,250173341003,1
250092113001,250092105004,1
250092113001,250092131003,3
250092113001,250092051004,2
250092113001,250092109001,3
250092113001,250173343002,2
250092113001,250092105003,1
250092113001,250092106001,1
250092113001,250092091003,1
250092113001,250092172011,3
250092113001,250092609003,2
250092113001,250092173002,3
250092113001,250092141003,3
250092113001,250092022004,1
250092113001,250092113003,2
250092113001,250092114011,1
250092113001,250092114021,2
250092113001,250092114022,1
250092544022,250092544024,3
250092544022,250092544011,2
250092544022,250092541004,2
250092544022,250173141013,2
250092544022,250092605002,1
250092544022,250092532024,1
250092544022,250092541003,3
250092544022,250092541001,1
250092544022,250092543011,2
250092544022,250092131003,1
250092544022,250092544021,3
250092544022,250092518003,2
250092544022,250092215002,1
250092544022,250173323004,1
250092544022,250173335021,1
250092544022,250173143011,2
250092544022,250092141003,1
330150610011,330150610013,1
330150610011,330150610012,1
330150610011,330150625002,1
330150610011,330151062004,1
330150610011,330151064002,1
330150610011,330150670002,1
330150610011,330150670001,1
250092113003,250092114011,1
250092113003,250092172011,2
250092113003,250092102002,1
250092113003,250092173002,2
250092113003,250092131003,2
250092113003,250092141003,2
250092113003,250092109001,2
250092113003,250092114021,2
250092113003,250092114022,1
250092113003,250092059001,1
250092113003,250092065003,1
250092113003,250092047012,1
250092113003,250092609003,1
250092113003,250092051004,1
250092544024,250092544011,2
250092544024,250092541004,2
250092544024,250173141013,2
250092544024,250092605002,1
250092544024,250092532024,1
250092544024,250092541003,3
250092544024,250092541001,1
250092544024,250092543011,2
250092544024,250092131003,1
250092544024,250092544021,3
250092544024,250092518003,2
250092544024,250092215002,1
250092544024,250173323004,1
250092544024,250173335021,1
250092544024,250173143011,2
250092544024,250092141003,1
330150610013,330150610012,1
330150610013,330150625002,1
330150610013,330151062004,1
330150610013,330151064002,1
330150610013,330150670002,1
330150610013,330150670001,1
250251004001,250251105022,2
250251004001,250092607001,1
250251004001,250251005003,1
250251004001,250250920002,1
250092114011,250235031024,1
250092114011,250235031021,1
250092114011,250235031012,1
250092114011,250235109002,1
250092114011,250235041023,1
250092114011,250235081012,1
