metric,value
n_CBGs,729.0
n_POIs,53.0
total_flow,4062.0
baseline_distance,27384.944876356923
baseline_social,530.9650274214996
no_regu_ref_dev_pct,30.132939438700145
regu_ref_dev_pct,22.91974396848843
ref_dev_reduction_pct,23.937908496732017
no_regu_from_F_pct,27.5726243229936
regu_from_F_pct,22.673559822747418
R_from_F_pct,18.242245199409158
from_F_reduction_pct,17.76785714285714
net_reduction_from_F_pp,4.899064500246184
positive_reduction_from_F_pp,5.9330379123584445
negative_offset_from_F_pp,1.03397341211226
share_positive_F,11.659807956104252
top10_F,25.72614107883817
top20_F,40.24896265560166
net_reduction_from_R_pp,7.213195470211718
positive_reduction_from_R_pp,7.385524372230429
negative_offset_from_R_pp,0.17232890201870998
share_positive_R,15.775034293552812
top10_R,26.333333333333332
top20_R,41.333333333333336
share_positive_both,10.562414266117969
share_changed_no_to_reg,23.593964334705074
