POI,baseline,regu,no_regu
zzw-222@62j-qst-87q,0.11382846033918015,0.08334763888777506,0.07522254567081568
222-222@62j-sx7-xwk,0.10652457716387982,0.06671678597646555,0.05206056180545757
222-222@62j-szw-wp9,0.07528444958798684,0.060458383937167307,0.057324987799077874
zzw-222@62j-sgx-mc5,0.037714027154060484,0.05736256005891099,0.061009501306422576
zzy-222@62j-sf9-qzz,0.06249493526797972,0.04815521227448677,0.044444189146953084
222-222@62j-stv-xh5,0.055657285412816115,0.03857402951135739,0.034148019489618604
226-222@62j-sj7-qj9,0.028940153083268024,0.03827921278770263,0.03908226781311287
222-222@62j-t54-8gk,0.027806088000732844,0.0461703797967324,0.050842899789827554
zzw-222@62j-wq5-ygk,0.03982354764326176,0.04303880156262933,0.04199861639508196
222-222@62j-sxz-9xq,0.038446426106224806,0.03887868007809714,0.04289830154707793
222-222@62k-2jw-bp9,0.03260116621862564,0.029903422867544965,0.03158898530295775
zzw-222@62j-pvd-whq,0.03570287828398389,0.02207739899329713,0.015625011710649766
zzw-222@62k-p2d-9fz,0.03672322995191328,0.030943774918666556,0.02950760477399203
222-222@62j-srj-tgk,0.030506836575706065,0.028594802250394333,0.029154865321147944
224-223@62j-sh4-45f,0.03672917532220583,0.024064354357101025,0.017584251928933887
225-222@62j-rz2-yd9,0.021130107670172777,0.04415806014322364,0.03749574017521238
222-222@62j-t2b-5zz,0.011172589745591011,0.037339921262669044,0.03937605013040911
zzw-222@62j-sz6-3wk,0.01639444058156215,0.024984958753610516,0.02638223351968297
zzw-222@62j-ptr-389,0.022411396384069734,0.022147858275186044,0.023398314229825808
zzw-223@62j-r5v-kcq,0.0194817587927522,0.018013265861947313,0.021031305555846817
222-222@62j-rgz-n5z,0.016142837960752863,0.023597716122620658,0.02957848257996689
227-222@62j-shr-wp9,0.012885776446827561,0.009075754642958036,0.011956461162740998
zzw-222@62k-pc7-ckf,0.007623573630971345,0.020407711979147515,0.023918498791203235
zzw-222@62j-pst-2c5,0.012854875498210915,0.013622752826363032,0.016817736839094332
zzw-222@62k-2kw-dy9,0.013484875441091173,0.013684305859671324,0.013859424204913312
227-222@62j-sgt-v9f,0.010655216636664851,0.018698162732784216,0.017616547133648575
224-222@62j-wgx-ndv,0.010322841629192964,0.008658983580909909,0.009699168748457271
225-222@62j-pjj-nbk,0.006828441956456347,0.012985107512893048,0.01426733879064111
zzw-222@62j-x3r-gzf,0.006776218228929559,0.007411207710474741,0.007411207710474742
222-224@62k-nyw-4gk,0.010320395717106029,0.008998070644968844,0.008998070644968846
228-222@62k-pc7-d5f,0.0027530942989105523,0.01182403288619703,0.012383301679701217
222-222@62j-rk3-rtv,0.004926655377753963,0.005015321156456869,0.016626360112957768
222-222@62j-shb-t9z,0.006040089258687193,0.0082797603810265,0.010725094565162067
22j-222@62j-sk3-jn5,0.004902441127382817,0.004248585493759449,0.005481607855676485
zzw-222@62j-rg6-kj9,0.006933564936287975,0.006640990862774907,0.006640990862774907
222-222@62k-r96-syv,0.0053363283563573815,0.002611346146320483,0.0022597369337058167
223-224@62j-sj4-68v,0.0008140878426955787,0.005772326941974581,0.005899203677368779
zzw-222@62k-fk7-ygk,0.0019291405636373165,0.002022078068883884,0.0023300366544787956
223-222@62k-rcm-nwk,0.0019316077420029262,0.004295123660073025,0.0040866698019340845
224-222@62k-pjg-575,0.003444619715706331,0.0009003835064570252,0.0013254037906210285
222-222@62k-2b5-wp9,0.0011194623074913634,0.0024152541347870773,0.0024152541347870777
222-223@62j-sjh-6kz,0.00038209464749096073,0.001905475346280075,0.0017951319589621585
223-224@62j-sj2-snq,0.0013617784313914377,0.0019409034249654616,0.002013608985301017
23v-222@62k-pc7-8qf,0.0008564529620273958,0.001779141822287156,0.0017184089683553784
226-222@62j-rk3-835,0.0,0.0,0.0
zzy-222@62j-ssg-n3q,0.0,0.0,0.0
24j-223@62j-psr-vcq,0.0,0.0,0.0
zzw-223@62k-ns8-2ff,0.0,0.0,0.0
225-222@62j-szd-jqf,0.0,0.0,0.0
23k-223@62j-shx-bc5,0.0,0.0,0.0
223-223@62j-sg9-vzz,0.0,0.0,0.0
222-222@62k-pbs-m6k,0.0,0.0,0.0
23q-222@62j-sj4-nqz,0.0,0.0,0.0
