city,city_name,cbsa_geoid,lon,lat,total_distance,total_se,total_se_js,total_flow,total_pois,loaded_poi_categories,missing_poi_categories,failed_file_count,data_available
newyork,New York,35620,-73.8819511521,40.7732804046,22835174.6682232507,22324.2540811518,2606.0563797831,165941.0000000000,3522,6,0,0,True
losangeles,Los Angeles,31080,-118.1805298128,34.1097600191,334652649.5147979856,36933.0886562231,2497.9099840667,237175.0000000000,6541,6,0,0,True
chicago,Chicago,16980,-87.8281475045,41.8223138715,144818520.3056606948,41064.9507777618,3647.3775237912,259768.0000000000,4901,6,0,0,True
houston,Houston,26420,-95.3538721750,29.7497490684,126294167.6744302809,11076.6073888265,944.7198959464,71631.0000000000,4099,6,0,0,True
atlanta,Atlanta,12060,-84.3995692201,33.6920085430,3989602.8851097226,2620.0263877267,325.5760727262,48007.0000000000,1230,6,0,0,True
seattle,Seattle,42660,-121.8833963722,47.5541853905,6839794.6721602399,4436.1614453426,265.1243929406,31734.0000000000,1586,6,0,0,True
boston,Boston,14460,-71.0209446130,42.5150696896,3751468.9808923495,6722.7331866320,644.4468821250,44082.0000000000,1148,6,0,0,True
fresno,Fresno,23420,-119.6534268436,36.7585309462,1619582.8874970111,2511.6482850000,203.1324273384,17155.0000000000,629,5,1,0,True
baltimore,Baltimore,12580,-76.5502050633,39.3050349371,5710788.4991445187,6219.2215178227,595.1626525985,38388.0000000000,1449,6,0,0,True
tulsa,Tulsa,46140,-96.1648351707,36.2493313749,2841814.1928821746,3559.6075580816,281.8897363943,22094.0000000000,911,6,0,0,True
tyler,Tyler,46340,-95.2690152149,32.3749676305,117070.5797424640,619.4352679966,49.1070576537,3886.0000000000,260,4,2,0,True
champaign,Champaign,16580,-88.3191304116,40.1003279177,20924.4859898773,313.5635133051,33.5045402464,1999.0000000000,128,5,1,0,True
billings,Billings,13740,-108.8258736550,45.6386536084,66107.6733551716,679.1802164722,50.1901785972,4115.0000000000,173,5,1,0,True
sebring,Sebring,42700,-81.3410313031,27.3432684504,1081.4808367720,40.0204846223,1.6164992136,247.0000000000,44,4,2,0,True
cheyenne,Cheyenne,16940,-104.6894256350,41.3070558779,21321.8601334253,265.5965848092,16.5769719087,1842.0000000000,116,5,1,0,True
